,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
150,201707,여자,(70~79세),6434,1615,148,247,383,605,309,527,421,259,166,359,0,434,211,358,239,0,153,0,0
151,201707,여자,(80~89세),3722,777,113,207,206,406,197,283,256,217,112,202,0,266,125,174,87,0,94,0,0
152,201707,여자,(90~99세),554,118,13,30,22,67,19,49,44,25,8,28,0,38,25,30,22,0,16,0,0
153,201707,여자,(100세_이상),25,5,0,0,1,2,2,1,1,2,2,1,0,1,1,3,2,0,1,0,0
154,201708,남자,(0~9세),19826,2371,63,75,223,244,132,238,184,63,81,3265,0,2695,2392,2847,2764,0,2189,0,0
155,201708,남자,(10~19세),15525,2429,82,107,256,272,195,300,278,95,125,2694,0,2066,2014,1897,1516,0,1199,0,0
156,201708,남자,(20~29세),14600,3442,218,203,465,597,542,526,395,235,189,1903,0,1605,854,1294,1007,0,1125,0,0
157,201708,남자,(30~39세),24400,3563,201,229,500,602,561,525,379,211,162,3530,0,3144,2090,3206,3038,0,2459,0,0
158,201708,남자,(40~49세),26192,4088,264,243,563,727,572,625,515,283,267,4106,0,3303,2933,3100,2575,0,2028,0,0
159,201708,남자,(50~59세),16648,3389,295,357,658,1017,652,756,634,481,271,1947,0,1635,1070,1338,1001,0,1147,0,0
160,201708,남자,(60~69세),9819,2217,206,327,408,840,469,645,445,398,186,742,0,710,434,650,626,0,516,0,0
161,201708,남자,(70~79세),4918,1243,115,163,301,448,254,390,291,234,118,261,0,323,136,300,210,0,131,0,0
162,201708,남자,(80~89세),1799,411,45,84,124,194,116,181,144,94,45,78,0,96,46,69,50,0,22,0,0
163,201708,남자,(90~99세),149,43,5,6,8,15,5,8,10,6,6,9,0,15,5,4,2,0,2,0,0
164,201708,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,201708,여자,(0~9세),18988,2257,53,101,203,214,140,226,172,50,88,3226,0,2542,2235,2813,2552,0,2116,0,0
